"Leading causes of death, total population, by age group 1 2 3 4 5 6 7 8 9",,,,,,,,,,,,,,,,,,,,,,,,
Frequency:?Annual,,,,,,,,,,,,,,,,,,,,,,,,
Table: 13-10-0394-01 (formerly CANSIM?102-0561),,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Age at time of death 10,"Age at time of death, all ages 12 13",,,,,,,,,,,,,,,,,,,,,,
,Sex 11,Both sexes,,,,,,,,,,,,,,,,,,,,,,
,"Geography, place of residence 14 15","Canada, place of residence",,,,,,,,,,,,,,,,,,,,,,
Leading causes of death (ICD-10) 16 17 18,Characteristics,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Total, all causes of death  [A00-Y89]",,Number,,,,,,,,,,,,,,,,,,,,,,
,Rank of leading causes of death 19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of deaths,"218,062","219,538","223,603","226,169","226,584","230,132","228,079","235,217","238,617","238,418","240,075","243,511","246,596","252,338","258,821","264,333","267,213","278,298","285,704","285,301","308,412","311,640","334,081"
Salmonella infections  [A01-A02],Rank of leading causes of death 19,41,43,41,40,41,41,42,42,41,41,41,41,41,40,40,40,42,40,40,41,41,39,40
,Number of deaths,3,1,6,8,5,4,1,5,7,5,9,5,8,11,10,12,5,10,7,6,9,11,12
"Shigellosis and amoebiasis  [A03, A06]",Rank of leading causes of death 19,47,43,45,45,42,45,45,45,45,43,46,46,46,45,47,45,46,46,43,46,45,45,46
,Number of deaths,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0
Tuberculosis  [A16-A19],Rank of leading causes of death 19,31,30,30,31,32,31,31,32,31,35,34,33,33,33,33,32,33,33,34,34,34,34,33
,Number of deaths,81,108,102,93,70,87,90,93,92,61,67,76,68,82,81,107,88,90,84,71,99,110,119
Whooping cough  [A37],Rank of leading causes of death 19,42,45,45,44,45,44,45,45,45,45,45,43,43,43,43,45,46,43,43,43,45,47,46
,Number of deaths,2,0,0,1,0,1,0,0,1,1,1,3,3,1,2,0,0,1,1,2,0,0,0
"Scarlet fever and erysipelas  [A38, A46]",Rank of leading causes of death 19,44,45,45,43,45,45,42,45,43,47,46,46,46,45,44,43,44,43,46,46,45,47,44
,Number of deaths,1,0,0,2,0,0,1,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1
Meningococcal infection  [A39],Rank of leading causes of death 19,37,38,37,38,38,39,38,39,39,39,40,40,38,41,41,41,40,41,42,40,42,41,42
,Number of deaths,24,25,19,21,14,13,12,13,14,12,14,10,14,10,7,6,9,5,6,9,8,7,6
Sepsis  [A40-A41],Rank of leading causes of death 19,15,15,14,14,14,14,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14
,Number of deaths,"1,357","1,392","1,489","1,552","1,608","1,690","1,852","1,972","2,135","2,211","2,257","2,465","2,611","2,289","2,359","2,487","1,909","2,044","2,195","2,139","2,246","2,064","2,183"
Syphilis  [A50-A53],Rank of leading causes of death 19,42,41,42,42,42,43,41,41,42,42,42,42,42,42,42,42,41,41,40,42,43,43,43
,Number of deaths,2,2,4,5,1,2,3,6,5,3,4,4,4,5,3,4,8,5,7,3,6,6,4
Acute poliomyelitis  [A80],Rank of leading causes of death 19,47,45,45,45,45,45,45,45,48,47,46,46,46,45,47,45,46,46,46,46,45,47,46
,Number of deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",Rank of leading causes of death 19,47,45,45,45,45,45,45,45,48,47,46,44,46,45,47,45,43,46,46,44,45,44,46
,Number of deaths,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,2,0
Measles  [B05],Rank of leading causes of death 19,44,45,43,45,45,45,42,44,48,47,46,46,46,43,44,45,46,46,46,44,45,47,46
,Number of deaths,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Viral hepatitis  [B15-B19],Rank of leading causes of death 19,29,25,25,25,25,24,22,23,23,23,22,23,21,21,21,21,22,26,26,26,27,28,29
,Number of deaths,138,320,379,394,409,398,457,455,446,451,486,465,525,540,556,528,446,371,357,311,262,271,210
Human immunodeficiency virus [HIV] disease  [B20-B24],Rank of leading causes of death 19,21,24,24,23,23,23,23,24,25,26,26,27,27,27,27,28,28,28,31,32,32,32,32
,Number of deaths,511,435,405,440,420,468,428,422,407,355,336,306,276,241,205,190,175,142,142,105,136,133,129
Malaria  [B50-B54],Rank of leading causes of death 19,44,41,45,45,45,42,45,43,44,43,42,44,43,45,44,43,46,46,43,46,45,47,44
,Number of deaths,1,2,0,0,0,3,0,2,2,2,4,1,3,0,1,1,0,0,1,0,0,0,1
Malignant neoplasms  [C00-C97],Rank of leading causes of death 19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Number of deaths,"62,672","63,774","65,103","65,990","66,947","67,343","67,807","69,595","70,558","71,125","71,882","72,736","74,361","75,112","77,059","77,054","79,084","80,023","79,726","80,372","81,242","82,822","82,412"
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",Rank of leading causes of death 19,14,14,15,15,16,16,16,16,17,17,17,17,16,14,15,14,14,14,14,14,16,17,17
,Number of deaths,"1,439","1,431","1,488","1,433","1,375","1,447","1,415","1,429","1,390","1,459","1,351","1,436","1,469","1,531","1,461","1,526","1,629","1,609","1,752","1,767","1,860","1,793","1,803"
Anaemias  [D50-D64],Rank of leading causes of death 19,23,21,21,21,24,22,24,22,22,22,23,22,23,22,22,22,21,21,21,20,21,21,21
,Number of deaths,446,487,515,532,417,494,395,499,512,524,480,541,477,505,459,471,474,541,523,543,627,652,654
Diabetes mellitus  [E10-E14],Rank of leading causes of death 19,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,6,7,7,7
,Number of deaths,"6,714","7,097","7,868","7,970","7,823","7,881","7,261","7,394","7,521","6,923","6,942","7,255","6,993","7,045","7,071","7,172","6,838","6,938","6,864","6,987","7,654","7,472","7,557"
Nutritional deficiencies  [E40-E64],Rank of leading causes of death 19,26,27,27,28,28,28,29,28,28,28,28,28,28,28,28,27,27,27,27,27,28,27,26
,Number of deaths,220,212,239,232,246,246,201,233,239,220,222,243,202,182,169,218,192,227,250,217,254,274,321
"Meningitis  [G00, G03]",Rank of leading causes of death 19,34,33,33,34,35,35,34,36,34,33,33,34,36,35,35,35,34,34,33,33,35,35,35
,Number of deaths,56,60,57,55,53,53,66,57,55,75,77,58,37,60,68,53,62,83,93,77,76,58,89
Parkinson's disease  [G20-G21],Rank of leading causes of death 19,13,13,13,13,13,13,14,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,12
,Number of deaths,"1,480","1,609","1,664","1,679","1,657","1,890","1,686","1,890","1,869","1,901","2,015","2,019","2,172","2,354","2,456","2,543","2,825","3,137","3,104","3,155","3,458","3,489","3,617"
Alzheimer's disease  [G30],Rank of leading causes of death 19,7,7,7,7,8,8,7,7,7,7,7,7,7,8,8,8,7,8,8,8,9,8,9
,Number of deaths,"5,007","5,477","5,515","5,504","5,536","5,762","5,675","5,903","6,573","6,281","6,452","6,377","6,293","6,345","6,410","6,587","6,521","6,683","6,439","6,181","5,788","5,471","5,413"
